OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:01,A few more. let's keep going!,en,SPEAKER_01,00:00,00:00 - 00:01,Just a few more. let's keep going!,en,Speaker 1 System,No difference,00:00:00,1,TRUE,FALSE,TRUE
00:01,00:01 - 00:02,,,,00:01,00:01 - 00:02,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:02,00:02 - 00:06,Now we are going to check that you know the rules and then get started.,en,SPEAKER_01,00:02,00:02 - 00:06,Now we are going to check that you know the rules and then get started.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:06,00:06 - 00:07,Scroll down to begin.,en,SPEAKER_01,00:06,00:06 - 00:09,Scroll down to begin.,en,Speaker 1 System,No difference,00:00:02,0,FALSE,FALSE,TRUE
00:07,00:07 - 00:11,,,,00:09,00:09 - 00:11,嗯 然后,zh,Speaker 4 Experimenter,00:02,00:00:02,3,TRUE,TRUE,TRUE
00:11,00:11 - 00:13,您是用safari是吗?,zh,SPEAKER_05,00:11,00:11 - 00:13,您是用safari是吗?,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:13,00:13 - 00:13,- mm.,en,SPEAKER_00,00:13,00:13 - 00:13,- mm.,zh,Speaker 3 Parent,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:13,00:13 - 00:14,,,,00:13,00:13 - 00:14,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:14,00:14 - 00:17,"然後呢,強請您往下滑一下,這邊有一個link",zh,SPEAKER_05,00:14,00:14 - 00:17,"然後呢,強請您往下滑一下,這邊有一個link",en + zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:17,00:17 - 00:18,,,,00:17,00:17 - 00:18,往上,zh,Speaker 4 Experimenter,No difference,00:00:00,2,TRUE,TRUE,TRUE
00:18,00:18 - 00:24,"再往上一点,谢谢,这里有please see the instruction,请您点开一下这个。",zh,SPEAKER_05,00:18,00:18 - 00:24,"再往上一点,谢谢,这里有please see the instruction,请您点开一下这个。",en + zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:24,00:24 - 00:25,,,,00:24,00:24 - 00:25,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:25,00:25 - 00:26,可能需要您改一个setting,zh,SPEAKER_05,00:25,00:25 - 00:26,可能需要您改一个setting,en + zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:26,00:26 - 00:27,,,,00:26,00:26 - 00:27,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:27,00:27 - 00:28,"Okay, on a crew.",en,SPEAKER_03,00:27,00:27 - 00:28,哦我可以用chrome,en + zh,Speaker 3 Parent,No difference,00:00:00,8,TRUE,TRUE,TRUE
00:28,00:28 - 00:29,,,,00:28,00:28 - 00:29,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:29,00:29 - 00:31,[speaking chinese],en,SPEAKER_05,00:29,00:29 - 00:31,哦您可以用chrome，好,en + zh,Speaker 4 Experimenter,No difference,00:00:00,7,TRUE,TRUE,TRUE
00:31,00:31 - 00:33,,,,00:31,00:31 - 00:33,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:33,00:33 - 00:34,把鏈接重開一次,zh,SPEAKER_03,00:33,00:33 - 00:34,把鏈接重開一次是吗,zh,Speaker 3 Parent,No difference,00:00:00,2,TRUE,FALSE,TRUE
00:34,00:34 - 00:35,,,,00:34,00:34 - 00:35,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:35,00:35 - 00:36,那我再拍給你一遍,zh,SPEAKER_05,00:35,00:35 - 00:39,那我再发給你一遍,zh,Speaker 4 Experimenter,No difference,00:00:03,0,TRUE,FALSE,TRUE
00:36,00:36 - 00:40,,,,00:39,00:39 - 00:40,哦，这边有,zh,Speaker 4 Experimenter,00:03,00:00:03,4,TRUE,TRUE,TRUE
00:40,00:40 - 00:42,您再点开一次那个链接,zh,SPEAKER_05,00:40,00:40 - 00:42,您再点开一次那个链接,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:42,00:42 - 00:43,,,,00:42,00:42 - 00:43,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:43,00:43 - 00:47,然后您可以将那个视频先点开,zh,SPEAKER_05,00:43,00:43 - 00:47,然后您可以将那个视频先点开,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:47,00:47 - 00:48,然后从头划到尾,zh,SPEAKER_05,00:47,00:47 - 00:48,然后从头划到尾,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:48,00:48 - 00:50,然后下面的内容就会出现了,zh,SPEAKER_05,00:48,00:48 - 00:50,然后下面的内容就会出现了,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:50,00:50 - 01:12,,,,00:50,00:50 - 01:12,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:12,01:12 - 01:13,你没有好吗,zh,SPEAKER_08,01:12,01:12 - 01:13,你没有好吗,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:13,01:13 - 01:17,,,,01:13,01:13 - 01:17,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:17,01:17 - 01:18,Welcome to mecholab.,en,SPEAKER_01,01:17,01:17 - 01:18,Welcome to mecholab.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:18,01:18 - 01:19,,,,01:18,01:18 - 01:19,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:19,01:19 - 01:21,Before starting the test.,en,SPEAKER_01,01:19,01:19 - 01:21,Before starting the test.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:21,01:21 - 01:25,You will need a computer or tablet that is connected to the internet.,en,SPEAKER_01,01:21,01:21 - 01:25,You will need a computer or tablet that is connected to the internet.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:25,01:25 - 01:29,And a quiet room where your child can be attentive and without distraction.,en,SPEAKER_01,01:25,01:25 - 01:29,And a quiet room where your child can be attentive and without distraction.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:29,01:29 - 01:30,,,,01:29,01:29 - 01:30,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:30,01:30 - 01:32,你小狗又来了,zh,SPEAKER_08,01:30,01:30 - 01:32,那小狗又来了,zh,Speaker 2 Child,No difference,00:00:00,0,TRUE,FALSE,TRUE
01:32,01:32 - 01:34,他怎么又会说话呢,zh,SPEAKER_08,01:32,01:32 - 01:34,他怎么又会说话呢,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:34,01:34 - 01:40,,,,01:34,01:34 - 01:40,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:40,01:40 - 01:40,Look home.,en,SPEAKER_04,01:40,01:40 - 01:40,unclear,en + zh,Speaker 2 Child,No difference,00:00:00,1,TRUE,TRUE,TRUE
01:40,01:40 - 01:41,,,,01:40,01:40 - 01:41,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:41,01:41 - 01:42,謝謝各位,zh,SPEAKER_04,01:41,01:41 - 01:42,謝謝,zh,Speaker 4 Experimenter,No difference,00:00:00,2,TRUE,FALSE,TRUE
01:42,01:42 - 01:45,,,,01:42,01:42 - 01:45,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:45,01:45 - 01:46,可以再往下,zh,SPEAKER_05,01:45,01:45 - 01:46,可以再往下,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:46,01:46 - 01:48,,,,01:46,01:46 - 01:48,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:48,01:48 - 01:52,"哦,然後想請您把那個視頻從頭拉到尾",zh,SPEAKER_05,01:48,01:48 - 01:52,"哦,然後想請您把那個視頻從頭拉到尾",zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:52,01:52 - 01:55,這樣它就是會是一個已經看完了的,zh,SPEAKER_05,01:52,01:52 - 01:55,這樣它就是會是一個已經看完了的,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:55,01:55 - 01:56,,,,01:55,01:55 - 01:56,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:56,01:56 - 01:57,The rules again.,en,SPEAKER_01,01:56,01:56 - 01:57,The rules again.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:57,01:57 - 01:59,,,,01:57,01:57 - 01:59,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:59,01:59 - 02:00,然后请您向下滑,zh,SPEAKER_05,01:59,01:59 - 02:00,然后请您向下滑,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
02:00,02:00 - 02:01,这里有一些问题,zh,SPEAKER_05,02:00,02:00 - 02:01,这里有一些问题,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
02:01,02:01 - 02:03,想请您回答一下,zh,SPEAKER_05,02:01,02:01 - 02:03,想请您回答一下,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
